Iltalehti,"Englannin ja Turkin kiihkeän ottelun puoliajalla tapahtunut joukkonujakointi varjostaa Liverpoolin valmistautumista tämäniltaiseen UEFA -cupin otteluun slovenialaista Olympija Ljubljanaa vastaan. Maanantaina julkaistun videon perusteella Liverpoolin hyökkääjä  Emile Heskey (kuvassa) yritti lyödä turkkilaista järjestyksenvalvojaa kasvoihin sekamelskassa, joka sai alkunsa Turkin puolustaja Alpayn tökätessä David Beckhamia sormella kasvoihin. Heskeyn käytös on tällä hetkellä UEFA:n tutkittavana. Liverpoolin manageri Gerard Houllier ei suostunut kommentoimaan tapauksen yksityiskohtia vedoten tutkimusten keskeneräisyyteen. Heskeyn kanssa rähinästä tarinoinut  manageri kuitenkin puolusti tunteella pelaajaansa. - Emile ei käyttäydy tuolla tavalla ilman äärimmäistä provokaatiota. Mitä ikinä hänelle on tunnelissa lauottu, on täytynyt olla todella vakavaa, hän totesi sivuuttaen median esitykset rasismin osuudesta Heskeyn raivostumiseen. *Eilisessä lehdistötilaisuudessa Houllier painotti myös, että Heskeyn lisäksi videoidussa kahinassa oli kaksi muutakin Englannin pelaajaa (Ashley Cole ja Sol Campbell). Managerin mielestä kolmikon otteissa oli jopa jotain  hyvääkin. - Tovereiden puolustaminen kertoo luonteesta ja joukkuehengestä, hän pohti ja toivoi UEFA:n pitävän järjen kädessä mahdollisia tuomiota jakaessaan. Heskey-saagan ohella Sami Hyypiän kipparoiman Liverpoolin pelinalusrutiineja on häirinnyt hyökkäysosaston loukkaantumissuma. Illan peli jää väliin niin maalimasiina Michael Owenilta kuin tshekkitykki Milan Barokselta. Joukkueen aussitaituri Harry Kewellin mukaan maalirikas sairaslista ei kuitenkaan tuota ylitsepääsemättömiä ongelmia. - Meiltä löytyy ratkaisuvoimaa laajalta rintamalta. Uskon voittoomme, mutta en odota helppoa peliä. Kewellin usko kantaa myös pitemmälle, vaikka kauden alku ei ole lupaillut liikoja. - Emme ole ulkona Valioliigasta tai mistään cup-kisasta. Tittelit ovat mahdollisia, hän  totesi. UEFA-tittelin metsästys alkaa tänään hyvistä asemista. Ensimmäisen osaottelu päättyi Sloveniassa 1-1. SASU LAAKSONEN LiverpoolRähinä varjostaa Liverpoolin UEFA-ottelua"
svenska-nyheter,"Straffbestämmelserna för rasistiska brott skärps. 
De lagar som gäller brott av rasistisk och främlingsfientlig natur ska förtydligas. 

 En arbetsgrupp vid Justitieministeriet föreslår  att bestämmelserna om hets mot folkgrupp ska göras klarare så att också så kallade hatbrott förtydligas. Vid sidan om 
 religion nämns  nu  livsåskådning, härkomst, sexuell inriktning och funktionsnedsättning som brottsmotiv.
 
I fråga om hets mot folkgrupp tas det in  ett nytt gärningssätt kallat ""att ställa till allmänhetens förfogande"". Med det avses till exempel att öppna länkar till rasistiska internetsidor.
 
Också sammanslutningar eller föreningar ska kunna ställas till svars för hets mot folkgrupp, olaga hot eller ärekränkningsbrott. 

 Vetenskap och konst definieras klarare  

Sådan verksamhet - till exempel vetenskap och konst - 
där yttrandefriheten spelar stor roll ska definieras klarare.
 
Om till exempel journalister ställs till svars för uttalanden som andra har gjort i intervjuer kan det äventyra yttrandefriheten och försvåra den offentliga debatten. 

Arbetsgruppen har lämnat sitt förslag till justitieminister Tuija Brax (Gröna).  Förslaget är kopplat till  Europarådets konvention om IT-relaterad brottslighet och till ett nationellt genomförande av  EU:s rambeslut om bekämpande av rasism.




(Av Maria von Kraemer)Straffbestämmelserna för rasistiska brott skärps. 
De lagar som gäller brott av rasistisk och främlingsfientlig natur ska förtydligas. 

 En arbetsgrupp vid Justitieministeriet föreslår  att bestämmelserna om hets mot folkgrupp ska göras klarare så att också så kallade hatbrott förtydligas.Skärpta straff för rasistiska brott"
Keskisuomalainen,"Buenos Aires Argentiinan presidentti on tehnyt pilaa kiinalaisten vaikeuksista lausua kirjaimia l ja r espanjalaisittain. Presidentti Cristina Kirchner on Kiinassa matkalla, jonka tavoite on lujittaa maiden välisiä suhteita. Kirchner julkaisi matkaltaan espanjaksi tviitin, jossa hän laski leikkiä tavasta lausua r-kirjaimet l-kirjaimiksi. Tviitit laukaisivat kritiikin ja rasismisyytösten aallon. Presidentti tviittasi anteeksipyynnön ja selitti, että hullussa maailmassa selviää vain huumorilla. Kirchnerillä on isoja huolia kotimaassaan. Poliittiset vastustajat syyttävät häntä syyttäjä Alberto Nismanin kuolemasta viime kuussa. Ennen kuolemaansa syyttäjä väitti presidentin estelleen tutkimuksia, jotka koskivat Iranin mahdollista osuutta pommi-iskussa Buenos Airesissa vuonna 1994. New York Times kertoi aiemmin tällä viikolla, että Nisman oli luonnostellut valmiiksi pidätysmääräystä presidentistä.Presidentti tviittasi alatyyliin kiinalaisista"
Aamulehti,"Stellaris on vastalääkettä. Tai sille. Strategiapelien tuotantolaitos Paradox on kasannut  ja  -sarjojen aineksista galaktisten mittojen tieteispelin, jossa luodaan tähtienvälistä imperiumia. Kuvaruutu on dataa tulvillaan. Strategia on skemaattista, kaavojen ja valintojen mukaista menoa. Pelissä liittoudutaan ja  riitaudutaan, manipuloidaan ja autetaan. Valtapolitiikka voi olla diplomatiaa tai sotimista. Ainakin se on tiukkaa strategista suunnittelua avaruusoopperan kehyksissä. Pelaaja tutkii lähijärjestelmiä, on vuorovaikutuksessa  muukalaisten kanssa, suunnittelee taistelualuksia, valloittaa maailmoja ja kehittää teknologiaa. Realistista politiikkaa Rodun voi itse kehittää loputtomalta tuntuvien valintojen kautta.  Poliittinen järjestelmä säätelee pelaamisen ehtoja melkein realistisella tavalla. Laajemmassa katsannossa on ajatteluun kutsuva peli, jossa imperiumin rakentaminen on oikeusfilosofista ja moraalista hommaa. Pitää tuntea toisten olentojen tavat, käydä kauppaa, rakentaa, pohtia filosofisella tasolla, mikä on hyväksi omalle megayhteisölle. Strategiapeleissä on vielä imperiumeja ilman niiden kritiikkiä ja rotuja ilman rasismin leimaa. Yleensä  asioita perustellaan historialla, mutta nyt painutaan kauas avaruuteen ja tulevaisuuteen, jossa asiat tunnetusti ovat toisin. Kari SalminenPolitiikka määrää avaruudessakin"
Aamulehti,"Ikärasismi  taisi vähän nostaa päätään Essi Myllyojan torstaisella Nyt-palstalla, jolla hän mielestäni leimasi vanhukset huonokäytöksisiksi ja rasistisiksi. Tämän ajattelun mukaan maailma olisi jo ajat sitten muuttunut mallikelpoiseksi, koska ainahan  vanhukset kuolevat pois täältä sähläämästä, ja nuoret, fiksummat jäävät jäljelle. Korjatessani työkseni ainekirjoituksia vuosikymmeniä keskiasteen kouluissa törmäsin usein mitä räikeimpään rasismiin, joka kohdistui  vähemmistöihin, esimerkiksi rodun ja sukupuolisen suuntautuneisuuden perusteella. Nahkapäät ylistivät usein Hitleriä ja kertoivat, miten eriväriset vievät heiltä työt - ja naiset! Myymälävarkaus oli eräille hauska harrastus. Vanhusten potkiminenkaan ei ollut suuri rikos. Kokemani perusteella en kuitenkaan ryhtyisi mollaamaan nuoria, jotka ajatellevat ja käyttäytynevät miten kukin, kuten vanhemmatkin polvet. Aulis RintalaRasismia nuorillakin"
Yle Uutiset,"Ulkomaalaisten riski joutua rasismin uhriksi on noussut Mikkelissä. Uusin tilasto osoittaa, että Mikkelissä tehtiin viime vuonna rasistisia väkivaltarikoksia 11 kappaletta, eli todennäköisyys joutua rikoksen uhriksi oli liki kaksi prosenttia. Edellisenä vuonna todennäköisyys oli vajaan yhden prosentin luokkaa. Tänä vuonna lokakuun loppuun mennessä Mikkelin poliisi tietoon on tullut kahdeksan rasistista rikosta. Suurin osa näistä rikoksista on vahingontekoja ja ilkivaltaa. Huipussaan Mikkelin rasismi on ollut vuonna 1997. Etelä-Savon RadioRasismi lisääntynyt Mikkelissä"
Keskisuomalainen,"Helsinki Jääkiekkolegenda Teemu Selänne on ottanut kantaa tviittiensä nostattamaan kohuun. Selänne kirjoittaa blogissaan, ettei hänellä ole mitään hädänalaisia turvapaikanhakijoita vastaan eikä hän hyväksy rasismia. Selänne sanoo, ettei hyväksy rikollisuutta eikä etenkään raiskauksia missään olosuhteissa tekijän taustasta riippumatta. Raiskauksista saatavien tuomioiden tulisi Suomessa olla täysin erilaisia kuin nykyisin, Selänne kirjoittaa. Lisäksi hän sanoo blogissaan, että rikosten tulisi olla tarpeeksi painava syy turvapaikanhakijan karkottamiseen maasta. – Turvapaikanhakijoille annettua suojaa väärin käyttävien tekemien raiskauksien ja muiden rikosten tulisi mielestäni olla tarpeeksi iso syy maasta karkotukseen. Se, että 60-luvulla on tehty sopimus, joka estää tämän, ei ole enää tarpeeksi hyvä selitys tälle ongelmalle. Maailma on muuttunut noista ajoista, ja tällaisia periaatteita on siksi arvioitava uudelleen. Blogissaan Selänne sanoo alkaneensa pohtia suvaitsevaisuuden ja auttamisen rajoja sen jälkeen, kun kuuli ystävänsä alaikäisen tyttären joutuneen turvapaikanhakijoiden raiskaamaksi. Selänne ei kerro tapauksesta tarkemmin. Suomessa ulkomaalainen voidaan ulkomaalaislain mukaan karkottaa maasta muun muassa silloin, jos tämä on syyllistynyt rikokseen, josta on säädetty enimmäisrangaistuksena vähintään vuosi vankeutta tai henkilö on syyllistynyt toistuvasti rikoksiin. Suomi ei kuitenkaan palauta ketään alueelle, jossa henkilöä uhkaisi esimerkiksi kidutus tai kuolemanrangaistus. Esimerkiksi raiskauksesta enimmäisrangaistus on Suomessa kuusi vuotta vankeutta. STT ei ole tavoittanut Selännettä tarkentamaan, mitä hän tarkoitti esimerkiksi 60-luvulla tehdyllä sopimuksella. Selänne myös tyrmää huhut siitä, että joku muu olisi käyttänyt hänen Twitter-tiliään. – Se on vain ja ainoastaan minun, jokainen tviitti lähtee omasta toimestani, tykkäsit tai et, koen että minullakin on oikeus jakaa mielipiteitäni ja ajatuksiani, Selänne kirjoittaa.Selänne: En hyväksy rasismia enkä rikoksia"
Aamulehti,"Silminnäkijä: Hakkaa päälle! TV2 klo 22.15 HHH Raportti. Silminnäkijässä puidaan äärioikeiston nousua Suomessa ja Euroopassa. Juha Granathin toimittamassa  hyvässä ohjelmassa haastatellaan suomalaisia aatteen edustajia ja käydään Tanskan Århusissa, jossa samanmieliset kokoontuvat islaminvastaiseen mielenosoitukseen. Paikalla on Finnish Defence Leaguen edustajia, mutta myös vastamielenosoittajia, kuten Dan Koivulaakso, joka perustelee osallistumisensa hyvin. Rasismin tutkija Vesa Puuronen kertoo terävät analyysinsä äärioikeistoilmiöiden syistä ja seurauksista. Kuinka lähellä tiettyjä perussuomalaisia äärioikeisto on, siitä voi muodostaa mielipiteensä kuuntelemalla kansanedustaja Jussi Halla-ahoa, joka puhuu kieli keskellä suuta. Niin ei tee joensuulainen skinipäällikkö, joka mielellään kutsuu itseään  rasistiksi. Hänellä on pitkä lista väkivallantekoja maahanmuuttajia kohtaan. Somalialaiset hautaavat 17-vuotiaan Abdin, jonka koulutoveri tappoi penkinpainajaisissa.  Somalialaiset, tutkija Vesa Puuronen ja poliisi ovat eri mieltä siitä, oliko teon motiivi rasistinen. Ari Rouvinen Olennainen kysymys: Onko rasistisen äärioikeiston nousu todellinen uhka Suomessa vai pelkkää mediapöhinää marginaali-ilmiöistä ja seonneista nettikirjoittelijoista.Nouseeko äärioikeisto Suomessa?"
Pohjolan sanomat,"Annemari Kelhä Kemi Nollatoleranssi, laaja viranomaisten ja kolmannen sektorin  yhteistyö sekä tiedotus. Siinä ovat tropit, joilla tutkija Vesa Puuronen lähtisi lääkitsemään Kemissä roihahtanutta ulkomaalaisvihaa. Puuronen tuntee reseptin ainesosat hyvin. Hän on tutkinut rasismia Joensuun yliopistossa ja tuli tunnetuksi paikallisten skinheadien vastustamisesta.  Hän uskoo, että Kemissä väkivaltakierre voidaan katkaista ennen kuin se on kunnolla syntynyt. Oppia Joensuun virheistä Vesa Puuronen sanoo suoraan, että Joensuussa tehtiin kymmenen vuotta sitten monta virhettä. Hän toivoo, että muualla vältyttäisiin samoilta kasvukivuilta. - Suurin ongelma oli, että asiaa ei otettu vakavasti. Sen annettiin paisua pullataikinan tavoin, paukauttaa Puuronen. Skinheadien ydinjoukko oli poliisille tuttu ja nuorten keskuudessa liikkuvat aistivat ilmapiirin muutoksen. Turvaton tunnelma ja viharikokset kuitenkin vaiettiin kuoliaaksi niin  pitkään kuin mahdollista. Löytyipä niitäkin, joiden mielestä rasistit olivat oikealla asialla. Selkään taputtelijat ja rasististen ajatusten uutisointi rohkaisivat nuoria miehiä yhä julkeampaan toimintaan. Puuronen kehottaakin kemiläisiä kertomaan suureen ääneen, etteivät he hyväksy rasismia. Jos kaupunkilaiset ja viranomaiset tuomitsevat ennakkoluulot, ei niiden ympärille pääse syntymään järjestäytynyttä toimintaa. - Täällä esimerkiksi osuuskauppa päätti, ettei ota edes asiakkaikseen skinheadeiksi tiedettyjä ihmisiä, kuvailee Puuronen julkisen mielipiteen vaikutusta. Tiedolla luulon kimppuun Ennaltaehkäisyssä suurin merkitys on tiedolla. Maahanmuuton syistä, erilaisista tavoista ja suvaitsevaisuudesta pitää puhua jo päiväkodeissa ja kouluissa. Väärä tieto on voimakas ase. - Sillä houkutellaan nuoria näihin joukkioihin, tutkija selventää. Puhumalla voi vaikuttaa jopa niihin, jotka vaikuttavat jo menetetyiltä sieluilta. Puuronen näki itse, kuinka moni joensuulainen päätti lopulta jättää  skinhead-porukat. Päätöksen taustalla oli usein monta pitkää juttuhetkeä asiansa hyvin perustelevien aikuisten kanssa. Tausta Leima pysyy Joensuu tuli 1990-luvulla tunnetuksi  rasismista. Moni muistaa yhä kaupungin skinheadien kotina. Kasvojen peseminen on vienyt lähes vuosikymmenen. Tämän päivän Joensuu haluaa tulla tunnetuksia monikulttuurisena kaupunkina. Kaupungilla on monikulttuurisuusohjelma  ja siellä toimii monikulttuurisuustyöryhmä. Nykyään yliopistokaupungissa on noin 1 200 ulkomaalaista ja lisäksi vuosittain tuhatkunta ulkomaalaista opiskelijaa.Tutkija: Ongelmiin puututtava heti niiden  alkuvaiheessaRasismi leviää ja kasvaa nopeasti lumivyöryn tavoin"
yle-aihe,"Frank Sinatra on monessa yhteydessä julistettu 20. vuosisadan suurimmaksi laulajaksi. Juhani Similä, Peter von Bagh ja Pekka Laine omistivat hänelle vuonna 1994 mammuttimaisen radiospesiaalin, joka kävi juurta jaksain läpi niin miehen kuin hänen taiteensa vaiheet. Kunnianosoitus on tässä kuultavissa neliosaisena sarjana. __Frankien maailma__ toteutettiin alun perin 6,5-tuntisena yöllisenä maratonlähetyksenä joulukuussa 1994. Kevääksi 1995 siitä editoitiin oheinen neliosainen sarja __Frank Sinatran tie laulajasta legendaksi__. Frank Sinatra (1915–1998) oli laulaja, elokuvanäyttelijä, showmies, kaikkien aikojen ensimmäinen teini-idoli ja monimutkainen, ristiriitainen inhimillinen pakkaus. Orkesterinjohtaja **Harry Jamesin** löytämä laulava tarjoilija nousi muutamassa vuodessa huippusolistiksi, josta alettiin pian käyttää nimitystä ""the Voice"", ääni. Sinatraa edelsi kokonainen tunteellisten miessolistien, croonerien, sukupolvi, jonka keulakuva oli hänenkin ihailemansa **Bing Crosby**. Mutta vasta Sinatran myötä bigbandien hallitsema aikakausi vaihtui toden teolla soololaulajien aikaan. Ohjelman aloitusjaksossa Peter von Bagh jopa määritti tämän murroksen vertauskuvallisen tapahtumahetken. Ohjelmasarjan toinen osa koskettelee Sinatran nousua teini-idoliksi, radiokuuluisuudeksi, näyttelijäksi ja sotavuosien suurviihdyttäjäksi. Hintelä, hörökorvainen nuorukainen vetosi avuttomuudellaan ja haavoittuvuudellaan nuoreen naisyleisöön, joka vastasi hänelle hysteerisellä pyörtyilyllä. Laulajasuosikista alettiin 1940-luvulla leipoa myös filmitähteä, aluksi vaatimattomilla tusinatekeleillä. Käännekohta oli uuden tyypin musikaali __Laulaen maihin__ (Anchors Aweigh, 1945), jossa hän jakoi pääosan tanssija **Gene Kellyn** kanssa. Yhteistyö jatkui neljä vuotta myöhemmin **Stanley Donenin** ohjaamassa täysosumassa __Ilo irti__ (On the Town, 1949). Menestynyt moniviihdyttäjä esitettiin yleisölle amerikkalaisten perhearvojen tukipylväänä, vaikka todellisuudessa hän oli valloituksistaan kirjaa pitävä hamesankari. Julkisuuskuva sai jo 1940-luvun lopulla pahaa säröä, kun alettiin huhuilla Sinatran yhteyksistä järjestäytyneeseen rikollisuuteen. Kolmas osa käynnistyy 1950-luvun alusta, jolloin skandaalinkäryinen avioero ja oletetut mafiasuhteet tekivät supertähdestä sensaatiolehtien maalitaulun. Niin filmi- kuin levyurallaan pysähdystilaan ajautunut, yleisön hylkäämä Sinatra oli Pekka Laineen mukaan varsin selvä esikuva **Mario Puzon** __Kummisetä__-romaanin laulajahahmolle Johnny Fontanelle. Uuden nousun toi vuonna 1953 intensiivinen suoritus elokuvassa __Täältä ikuisuuteen__ (From Here to Eternity), joka nosti Sinatran yhtäkkiä esiin vakavan draaman esittäjänä. Pian hän sai uudenlaista uskottavuutta ja ulottuvuutta myös laulajana. Vähemmän tunnettua on, että 1950-luvun Sinatra oli vakaumuksellinen rasismin ja [mccarthyismin](http://yle.fi/aihe/artikkeli/2006/09/08/viihteen-mustat-listat-eivat-kuolleet-1950-luvun-myota) vastustaja. 1960-luvulla hän tuki innolla **John F. Kennedyn** presidenttikampanjaa, mutta suhde uuteen valtaeliittiin kariutui ilmeisesti viitteisiin laulajan gangsterikytkennöistä. Vuosikymmenen lopulla hän teki poliittisen täyskäännöksen konservatiivien kanattajaksi. Ohjelman tekijöitä askarruttaa Sinatran jopa tahalliselta tuntuva tapa tehdä urallaan ilmiselviä vääriä siirtoja. Filmografiassa vuorottelevat surkeat ja kelvolliset elokuvat, ja muutamia poikkeuksia lukuunottamatta hän hoiti roolisuorituksensa ikäänkuin vasemmalla kädellä. Pohjanoteeraus koettiin von Baghin mielestä 1960-luvulla, jolloin Sinatran johtaman ""Rat Pack""-äijäseurueen remuamiset siirrettiin myös valkokankaalle. Sarjan päätösjakso käsittelee Sinatraa musiikintekijänä. Viisikymmenluvun alkupuolella hän otti tärkeimmällä työkentällään ohjat omiin käsiinsä. Sinatran suunnittelemat albumit, jotka kukin oli rakennettu tietyn tunnelman mukaan, tekivät LP-levystä uudenlaisen taiteellisen välineen. Kolmen minuutin teoksista siirryttiin 45 minuutin kokonaisuuksiin. Von Bagh korostaa, kuinka Sinatra palautti amerikkalaisen laulun kertovan perinteen, esitti pieniä vinjettejä elämästä ja oli ""paljaasti ihmisenä läsnä"". Hän osasi hyödyntää luovasti populaarimusiikin historiaa ja onnistui tekemään kaavamaisista aineksista kestäviä teoksia. Sinatra oli ensimmäinen 1900-luvun keskeisistä laulajista, joka teki mikrofonista oman instrumenttinsa, von Bagh sanoo. Lauluäänen lisäksi hänen suurin valttinsa oli uskottavuus: ""Ääni on löytänyt ainutlaatuisen symbioosin merkityksen kanssa."" Ohjelmasarjan jaksoja on jouduttu hieman lyhentämään tekijänoikeusrajoitusten johdosta.Frank Sinatra on monessa yhteydessä julistettu 20. vuosisadan suurimmaksi laulajaksi. Juhani Similä, Peter von Bagh ja Pekka Laine omistivat hänelle vuonna 1994 mammuttimaisen radiospesiaalin, joka kävi juurta jaksain läpi niin miehen kuin hänen taiteensa vaiheet. Kunnianosoitus on tässä kuultavissa neliosaisena sarjana.Frank Sinatra – mies ja Ääni"
